CMDLINE 2908
MEM 3.406250 1708236807.8480
MEM 3.406250 1708236807.9556
MEM 3.406250 1708236808.0657
MEM 3.406250 1708236808.1757
MEM 3.406250 1708236808.3013
MEM 3.406250 1708236808.4119
MEM 3.406250 1708236808.5160
MEM 3.406250 1708236808.6245
MEM 3.406250 1708236808.7350
MEM 3.406250 1708236808.8456
MEM 3.406250 1708236808.9556
MEM 3.406250 1708236809.0715
MEM 3.406250 1708236809.1726
MEM 3.406250 1708236809.2727
MEM 3.406250 1708236809.3728
MEM 3.406250 1708236809.4826
MEM 3.406250 1708236809.5922
MEM 3.406250 1708236809.6960
MEM 3.406250 1708236809.8061
MEM 3.406250 1708236809.9160
MEM 3.406250 1708236810.0257
MEM 3.406250 1708236810.1388
MEM 3.406250 1708236810.2491
MEM 3.406250 1708236810.3593
MEM 3.406250 1708236810.4695
MEM 3.406250 1708236810.5716
MEM 3.406250 1708236810.6739
MEM 3.406250 1708236810.7898
MEM 3.406250 1708236810.8998
MEM 3.406250 1708236811.0114
MEM 3.406250 1708236811.1210
MEM 3.406250 1708236811.2235
MEM 3.406250 1708236811.3267
MEM 3.406250 1708236811.4525
MEM 3.406250 1708236811.5629
MEM 3.406250 1708236811.6675
MEM 3.406250 1708236811.7707
MEM 3.406250 1708236811.8844
MEM 3.406250 1708236811.9945
MEM 3.406250 1708236812.0995
MEM 3.406250 1708236812.2108
MEM 3.406250 1708236812.3208
MEM 3.406250 1708236812.4326
MEM 3.406250 1708236812.5424
MEM 3.406250 1708236812.6529
MEM 3.406250 1708236812.7623
MEM 3.406250 1708236812.8647
MEM 3.406250 1708236812.9746
MEM 3.406250 1708236813.0783
MEM 3.406250 1708236813.1919
MEM 3.406250 1708236813.2964
MEM 3.406250 1708236813.4066
MEM 3.406250 1708236813.5067
MEM 3.406250 1708236813.6173
MEM 3.406250 1708236813.7277
MEM 3.406250 1708236813.8318
MEM 3.406250 1708236813.9415
MEM 3.406250 1708236814.0531
MEM 3.406250 1708236814.1576
MEM 3.406250 1708236814.2673
MEM 3.406250 1708236814.3716
MEM 3.406250 1708236814.4787
MEM 3.406250 1708236814.5877
MEM 3.406250 1708236814.6932
MEM 3.406250 1708236814.7994
MEM 3.406250 1708236814.9076
MEM 3.406250 1708236815.0118
MEM 3.406250 1708236815.1189
MEM 3.406250 1708236815.2264
MEM 3.406250 1708236815.3336
MEM 3.406250 1708236815.4397
MEM 3.406250 1708236815.5407
MEM 3.406250 1708236815.6434
MEM 3.406250 1708236815.7444
MEM 3.406250 1708236815.8594
MEM 3.406250 1708236815.9682
MEM 3.406250 1708236816.0790
